Name of Product,NSQ Result,Manufactured By,Reporting Source,Reporting by Lab/State,Batch No,Manufacturing Date,Expiry Date,Reporting Month & Year,Source
Rabeprazole Sodium Injection IP,"The sample does not conform to I.P with respect to the Tests of pH, Clarity of Solution, Particulate matter, Related Substances, Assay of Rabeprazole Sodium and Description.","Martin & Brown Bio-Sciences Pvt. Ltd.,K.No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist.Solan (H.P.)-173205",CDSCO Labs,"CDL, Kolkata",MD25C07,3/1/2025,2/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Cyproheptadine Hydrochloride & Tricholine Citrate Syrup,The sample does not conform to claim as per In house in respect to the Test of Ethylene glycol and Assay of Tricholine Citrate,"Tridus Remedies,Plot No. D-42, D-43, Phase-II , Industrial Area, Hajipur, Vaishali-844102, Bihar",CDSCO Labs,"CDL, Kolkata",HNG-25004,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Bromhexine Hydrochloride, Terbutaline Sulphate & Guaiphenesin & Menthol Syrup","The sample does not conform to claim as per Schedule V, Drugs & Cosmetics Act in respect to the Assay of Menthol","Edkem Pharmaceuticals Ltd.M9-M12. Gallops, Industrial Park-II, Bavla Changodar Highway, Ahmedabad 382210",CDSCO Labs,"CDL, Kolkata",EL24113,2/1/2024,1/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Phenylephrine Hydrochloride, Dextromethorphan Hydrobromide, Chlorpheniramine Maleate & Guaiphenesin Syrup","The sample does not conform to claim as per Schedule V, Drugs & Cosmetics Act in respect to the Assay of Phenylephrine Hydrochloride","Indian Drug Vision,NH-58, Narsan Khurd, Roorkee, Distt. Haridwar (Uttarakhand)",CDSCO Labs,"CDL, Kolkata",IDS-1792,4/1/2025,3/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, I.P-15.0mg Salubutamol Sulphate Equivalent to Salbutamol, I.P-1mg Guaiphenesin, I.P- 50.0mg Menthol, I.P -1mg Sorbitol base -q.s. Colour: Sunset Yellow FCF",The sample does not conform to claim with respect to Assay of Menthol.,"Harihar Pharmaceuticals Pvt.Ltd.,Sambalpur Road, Khamarmunda-767065, Dist. Balangir, Odisha, India",CDSCO Labs,"CDL, Kolkata",AS036-25,1/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Albendazole Tablets IP 400 mg,The sample does not conform to I.P. with respect to test for Dissolution.,"Hindustan Antibiotics Ltd,Pimpri, Pune-411 018, India",CDSCO Labs,"CDL, Kolkata",112,1/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Pantoprazole for Injection IP 40 mg,"The sample does not conform to I.P. with respect to test for Particulate matter, and Clarity of solution","MMG Healthcare,Trilokpur Road, Kala Amb, Distt. sirmour-173030 (H.P.)",CDSCO Labs,"CDL, Kolkata",25GF05A,6/1/2025,5/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Rabeprazole Sodium Injection IP,"The sample does not conform to I.P. with respect to the tests of Clarity of solution, Particulate matter, pH, Related substances, Assay of Rabeprazole Sodium and Description.","Martin & Brown Bio-Sciences Pvt. Ltd.,K.No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist.Solan (H.P.)-173205",CDSCO Labs,"CDL, Kolkata",MD24A09,1/1/2024,12/1/2025,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, I.P-15.0mg Terbutaline Sulphate, I.P-1.25mg Guaiphenesin, I.P- 50.0mg Menthol, I.P -2.5mg",The sample does not conform to claim with respect to Aassay of Menthol,"Mothers Care Pharma Labs Pvt.Ltd.,AT/PO-Boudh, Dist: Boudh-762014, Odisha",CDSCO Labs,"CDL, Kolkata",MCPD-189,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Hydrocortisone Sodium Succinate Injection IP,"The sample does not conform to I.P. with respect to test for pH, Clarity of Solution and Particulate Matter","Martin & Brown Bio-Sciences Pvt. Ltd ,K.No. 918/419, Malkumajra, Nalagarh Road, Baddi, Dist.Solan (H.P.)-173205",CDSCO Labs,"CDL, Kolkata",MD24H18,8/1/2024,1/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Bromhexine Hydrochloride,Terbutaline Sulphate,Guaiphenesin & Menthol Syrup","The sample does not conform to claim as per Schedule V, Drugs & Cosmetics Act in respect to the Assay of Menthol","Rednex Pharmaceuticals Pvt. Ltd.,Survey No : 586 & 231, NR. SKF Bearing, Bavla Bagodara, N.H.-8A, Kerala, Tal. Bavla, Dist-Ahmedabad-382220",CDSCO Labs,"CDL, Kolkata",R12GL2424,12/1/2024,11/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Buprenorphine Injection IP 2ml,"The sample does not conform to IP with respect to test for Sterility, Related Substances, Particulate matter, Assay of Buprenorphine Hydrochloride and Description.","SNG Pharmaceuticals(P) Ltd.,101/B.K.B Complex Opp. Mahavir Nagar, N.H.No. 8, Vapi-396191 At 75/1 G.I.D.C, Vapi-3961951 Gujarat",CDSCO Labs,"CDL, Kolkata",1364 ASO,6/1/2025,5/1/2028,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Oxytocin Injection (Vet.),"The sample does not conform to claim as per Schedule V, Drugs & Cosmetics Act 1940 with respect to test for Particulate matter and Description.","Super Vaishali Laboratories ,R.B.Road, Bihar, -823001",CDSCO Labs,"CDL, Kolkata",4,12/1/2024,11/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Meropenem Injection I.P. 125 mg,"The sample does not conform to I.P. with respect to test for Clarity of solution, Particulate matter and Description.","Modern Laboratories ,45-47, Sector D-2, Industrial Area, Sanwer Road, Indore (M.P.) Pin-452015,",CDSCO Labs,"CDL, Kolkata",MPI2508,8/1/2025,7/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Meropenem Injection I.P. 125 mg,"The sample does not conform to I.P. with respect to test for Particulate matter, Clarity of solution, Assay of Meropenem calculated as Anhydrous Meropenem and Description.","Modern Laboratories ,45-47, Sector D-2, Industrial Area, Sanwer Road, Indore (M.P.) Pin-452015,",CDSCO Labs,"CDL, Kolkata",MPI2504,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Buprenorphine Injection IP 2ml,"The sample does not conform to IP with respect to test for pH, Related Substance, Particulate matter and Assay of Buprenorphine Hydrochloride.","SNG Pharmaceuticals(P) Ltd.,101/B.K.B Complex Opp. Mahavir Nagar, N.H.No. 8, Vapi-396191 At 75/1 G.I.D.C, Vapi-3961951",CDSCO Labs,"CDL, Kolkata",1364 ASO,5/1/2024,4/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Levocetirizine Dihydrochloride and Montelukast Sodium Syrup,The sample does not conform to claim with respect to Assay of Montelukast Sodium and Description.,"Tridus Remedies,Plot No. D-42, D-43, Phase-II , Industrial Area, Hajipur, Vaishali-844102, Bihar",CDSCO Labs,"CDL, Kolkata",AL-24002,1/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Lignocaine and Adrenaline Injection IP,"The sample does not conform to IP with respect to test for Particulate matter,Assay of Adrenaline Bitartrate eq. to Adrenaline and Description.","Health Biotech Ltd.,Village Sandoli, Nalagarh Road, Baddi, Distt. Solan (H.P.) India- 173205",CDSCO Labs,"CDL, Kolkata",HILR25002,1/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Meropenem Injection I.P. 125 mg,"The sample does not conform to I.P. with respect to test for Particulate matter, Clarity of solution and Assay of Meropenem calculated as Anhydrous Meropenem","Modern Laboratories ,45-47, Sector D-2, Industrial Area, Sanwer Road, Indore (M.P.) Pin-452015,",CDSCO Labs,"CDL, Kolkata",MPI2506,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Cefotaxime Sodium Injection IP 1000 mg,The sample does not conform to I.P. with respect to test for Clarity of solution and Particulate matter.,"Nandani Medical Laboratories Pvt. Ltd.,221/5, Bicholi Hapsi, Kanadia Road, Indore-452016",CDSCO Labs,"CDL, Kolkata",CT42414,7/1/2024,6/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Bromhexine Hydrochloride,Terbutaline Sulphate,Guaiphenesin & Menthol Syrup",The sample does not conform to claim as per Manufacturer method & specification in respect to the Assay of Menthol,"Rednex Pharmaceuticals Pvt.Ltd.,Survey No.586 & 231 NR, SKF Bearing, Bavla Bagdogra, NH-8A, Kerala, Tal. - Bavla, Ahmedabad-382220.",CDSCO Labs,"CDL, Kolkata",R01GL2522,1/1/2025,12/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Bupivacaine Hydrochloride in Dextrose Injection USP,The sample does not conform to U.S.P. with respect to test for Visible Particulates In Injection and Description.,"Arco Lifesciences (I) Pvt. Ltd.,C-86, M.I.D.C., Hingna, Nagpur-16.",CDSCO Labs,"CDL, Kolkata",BD24D2,12/1/2024,11/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Buprenorphine Injection IP 2ml,"The sample does not conform to I.P. with respect to the Tests of Extractable volume, Particulate matter and for the reason stated under Description.","Indus Pharma Pvt.Ltd.,A-181, RIICO, Ghiloth, Alwar, Rajasthan. Pin-301705 (India)",CDSCO Labs,"CDL, Kolkata",BUP325004,4/1/2025,3/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Tricholine Citrate and Sorbitol Syrup,The sample does not conform to the Manufacturer's Specification with respect to the Assay of Sorbitol Solution.,"Sabui Medical Stores(MFG.),3 Sadar Ghat Lane Bhadreswar, Hooghly West Bengal 712124",CDSCO Labs,"CDL, Kolkata",7917,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Rabeprazole Sodium Injection IP,The sample does not conform to I.P with respect to the Tests for Clarity of Solution and Particulate matter.,"Martin &Brown Bio-Sciences Pvt. Ltd.,K.No 918/419, Malkumajra, Nalagarh Road, Baddi, Distt. Solan (H.P.) 173205",CDSCO Labs,"CDL, Kolkata",MD25B16,2/1/2025,1/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Buprenorphine Injection IP 2ml,The sample does not conform I.P. with respect to the Test of Particulate matter and for the reason stated under Description.,"Indus Pharma Pvt. Ltd.,A-181, RIICO, Ghiloth, Alwar, Rajasthan. Pin-301705 (India)",CDSCO Labs,"CDL, Kolkata",BUP325004,4/1/2025,3/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Buprenorphine Injection IP 2ml,"The sample does not conform to I.P. with respect to the Tests of Particulate matter, Extractable volume and Description.","Indus Pharma Pvt.Ltd.,A-181, RIICO, Ghiloth, Alwar, Rajasthan. Pin-301705 (India)",CDSCO Labs,"CDL, Kolkata",BUP325005,5/1/2025,4/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Ondansetron Injection IP,The sample does not comply as per I.P. 2022 with respect to the test for Sterility and BET,"Symbiosis Pharmaceuticals Pvt.Ltd.,Suketi Road, Kala Amb Distt. Sirmour, Himachal Pradesh - 173030",CDSCO Labs,"RDTL,Guwahati",LA24174B,2/1/2025,1/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Ferrous Sulphate and Folic Acid Tablets IP,The sample is not of standard quality for the reason stated under Description of the tablets.,"Cyano Pharma (P) Ltd ,115-C, Industrial Estate, Pologround, Indore-452015",CDSCO Labs,"RDTL,Guwahati",CFB-X25,5/1/2024,4/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Itraconazole Capsules USP,The sample does not comply as per U.S.P. 2025 with respect to the test for Dissolution .,"Digital Vision,176, Mauza Ogli, Nahan Road, Kala-Amb, Distt. Sirmour (H.P.) - 173 030",CDSCO Labs,"RDTL,Guwahati",GCF0298,7/1/2025,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Amlodipine Tablets I.P. 2.5 mg,The sample is not of standard quality for the reason stated under Description of the tablets,"Zee Laboratories,47, Industrial Area, Paonta Sahib-173025",CDSCO Labs,"RDTL,Guwahati",424-1521,8/1/2024,7/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Metronidazole Tablets I.P. 400 mg.,The sample does not comply as per I.P. 2022 with respect to the test for Dissolution of Metronidazole.,"Medivs Biosciences Pvt. Ltd.,,Khasra No. 1294, Morta, Meerut Road, Ghaziabad, UP-201003",CDSCO Labs,"RDTL,Guwahati",MT-24027,5/1/2024,4/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Lorazepam Tablets I.P. 1 mg,The sample does not conform to claim as per I.P. 2022 with respect to the test for Dissolution and Assay of Lorazepam.,"D.D. Pharmaceuticals Pvt. Ltd.,G-1/583, RIICO Indl. Area, Sitapura, Tonk Road, Jaipur-302 022 (Rajasthan)",CDSCO Labs,"RDTL,Guwahati",OM-10584,7/1/2024,6/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Dextromethorphan HBr, Phenylephrine HCl & Chlorpheniramine Maleate Syrup",The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Phenylephrine Hydrochloride.,"Siddhi Vinayak Industries,Kh. No. 339/183/46, Village Mauza Johron, Industrial Area, Trilokpur Road, Kala-Amb, Tehsil Nahan, District Sirmour (H.P.) 173030",CDSCO Labs,"RDTL, Chandigarh",SVL-25199,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol Hydrochloride, Terbutaline Sulphate, Guaiphenesin & Menthol Syrup",The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Menthol,"NDB Healthcare,Vill. Lower Ambota, Sec-5, Parwanoo, Distt. Solan (H.P.)-173220",CDSCO Labs,"RDTL, Chandigarh",NB10L017A,10/1/2025,9/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline, Ambroxol Hydrochloride, Guaiphenesin & Menthol Syrup",The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Ambroxol Hydrochloride and Menthol,"H. L. Healthcare Pvt. Ltd.,Plot No. 25, Industrial Area, Phase II, Gagret, District Una - 177201, Himachal Pradesh",CDSCO Labs,"RDTL, Chandigarh",L - 25055,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Co-Trimoxazole Oral Suspension IP,"The sample does not conform to claim as per IP 2022 and Addendum 2024 in respect to the Test of Total microbial count, Total yeast and mould count","Candour Pharmaceuticals,Vill. Ogli, Suketi Road, Kala Amb, Distt. Sirmour (HP)-173030",CDSCO Labs,"RDTL, Chandigarh",CL250267A,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ambroxol HCl, Terbutaline Sulphate, Guaiphenesin & Methol Syrup",The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Terbutaline Sulphate,"Siddhi Vinayak Industries,Kh. No. 339/183/46, Village Mauza Johron, Industrial Area, Trilokpur Road, Kala-Amb, Tehsil Nahan, District Sirmour (H.P.) 173030",CDSCO Labs,"RDTL, Chandigarh",SVL-25194,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Ofloxacin, Metronidazole & Simethicone Suspension",The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Ofloxacin.,"ZRS Pharmaceuticals India Pvt.Ltd ,Khasra No. 481, 490/3, 562/489/1, Opposite Sector-6, Tehsil Kasauli, Parwanoo, Solan, Himachal Pradesh-173220",CDSCO Labs,"RDTL, Chandigarh",ZRSL - 1533,6/1/2025,5/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline Sulphate, Bromhexine HCl, Guaiphenesin & Menthol Syrup,,","The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Terbutaline Sulphate, Bromhexine Hydrochloride","Lapan Healthcare Pvt. Ltd.,Plot No. 112, Sector-29, Part 1, Huda, Panipat-132103 (Haryana)",CDSCO Labs,"RDTL, Chandigarh",LPS-2510209,10/1/2025,9/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Terbutaline Sulphate, Bromhexine Hydrochloride, Guaiphenesin & Menthol Syrup",The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Bromhexine Hydrochloride,"Bindlysh Biotec Ltd.,A-45, JHILMIL Industrial Area, Delhi, 110095",CDSCO Labs,"RDTL, Chandigarh",LXB-003,8/1/2025,7/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Diphenhydramine HCl, Ammonium Chloride, Sodium Citrate & Menthol Syrup",The sample does not conform to claim as per Patent and Proprietary in respect to the Assay of Sodium Citrate and Menthol.,"ZRS Pharmaceuticals India Pvt. Ltd ,Khasra No. 481, 490/3, 562/489/1, Opposite Sector-6, Tehsil Kasauli, Parwanoo, Solan, Himachal Pradesh-173220",CDSCO Labs,"RDTL, Chandigarh",ZRSL - 1806,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Teneligliptin & Metformin Hydrochloride Extended-release Tablets 20mg and 500mg,The sample received does not conform to I.P. 2022 with respect to the test of Dissolution (Teneligliptin) and Assay /Content of Teneligliptin,"Rivpra Formulation Pvt. Ltd.,Plot No.8, Sector-6A, I.I.E. SIDCUL, Haridwar-249 403 (U.K.)",CDSCO Labs,"CDTL, Mumbai",T-2406105,6/1/2024,5/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Cyproheptadine & Tricholine Citrate Oral Drugs 30 ml,The sample received does not conform to manufacturer's specification 2022 with respect to the test for pH.,"Luxica Pharma Inc.,Plot No. 2308, Phase - III, GIDC Panoli, Bharuch - 394116, Gujarat, India",CDSCO Labs,"CDTL, Mumbai",124,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Teneligliptin & Metformin Hydrochloride Extended-release Tablets 20mg and 500mg,The sample received does not conform to I.P. 2022 with respect to the test for Dissolution (Teneligliptin),"Rivpra Formulation Pvt. Ltd.,Plot No.8, Sector-6A, I.I.E. SIDCUL, Haridwar-249 403 (U.K.)",CDSCO Labs,"CDTL, Mumbai",T-2509069,9/1/2025,8/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Dextromethorphan Hydrobromide, Cetirizine Dihydrochloride, Zinc and Ammonium Chloride Syrup",The sample received does not conform to I.P. 2022 with respect to the test for Assay for Cetrizine Dihydrochloride.,"Frontline Pharmaceuticals Pvt. Ltd.,13/14, Siddhivinayak Ind. EST., Golani Naka, Waliv, Vasai (E), Dist. Palghar - 401208",CDSCO Labs,"CDTL, Mumbai",LC-2505,6/1/2025,5/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
"Paracetamol, Phenylphrine & Chlorpheniramine Maleate Suspension",The sample received does not conform to I.P. 2022 with respect to the test for Microbiological test.,"P & B Pharmaceuticals Pvt. Ltd,391/B, Shakarpur, Ta. Khambhat, Dist. Anand -388620, Gujarat",CDSCO Labs,"CDTL, Mumbai",101,10/1/2025,9/1/2027,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
Bacillus clausii spores suspension,The sample received does not conform toclaim with respect to Assay of Bacillus Clausii and Description.,"Zee Laboratories Ltd.,Behind 47, Industrial Area, Paonta Sahib-173025",CDSCO Labs,"CDTL, Mumbai",Z24-450,6/1/2024,5/1/2026,Jan-2026,https://cdsco.gov.in/opencms/opencms/en/Notifications/nsq-drugs/
